Pressure,Temperature,Phase,Author,Method
62.2,300,B1,Ye (2017),static
62.7,300,B1,Ye (2017),static
66,300,B1,Ye (2017),static
64.4,300,B1,Ye (2017),static
69.6,300,B1,Ye (2017),static
50.7,2148,B1,Ye (2017),static
50.7,2110,B1,Ye (2017),static
50.7,2058,B1,Ye (2017),static
51.1,2013,B1,Ye (2017),static
51.1,1994,B1,Ye (2017),static
50,1981,B1,Ye (2017),static
51.1,2006,B1,Ye (2017),static
50.7,1852,B1,Ye (2017),static
48.2,1806,B1,Ye (2017),static
50.4,1794,B1,Ye (2017),static
48.7,1742,B1,Ye (2017),static
50.2,1703,B1,Ye (2017),static
48.4,1671,B1,Ye (2017),static
48.2,1600,B1,Ye (2017),static
50.7,1594,B1,Ye (2017),static
50.4,1555,B1,Ye (2017),static
50.2,1594,B1,Ye (2017),static
54.9,1665,B1,Ye (2017),static
54.2,1632,B1,Ye (2017),static
54.4,1613,B1,Ye (2017),static
55.3,1613,B1,Ye (2017),static
57.6,1665,B1,Ye (2017),static
56.7,1671,B1,Ye (2017),static
58.7,1748,B1,Ye (2017),static
58.4,1716,B1,Ye (2017),static
55.6,1800,B1,Ye (2017),static
55.6,1787,B1,Ye (2017),static
59.6,1839,B1,Ye (2017),static
58.7,1800,B1,Ye (2017),static
58.4,1735,B1,Ye (2017),static
59.8,1929,B1,Ye (2017),static
58,1910,B1,Ye (2017),static
56.2,1974,B1,Ye (2017),static
56,2032,B1,Ye (2017),static
58.4,1974,B1,Ye (2017),static
55.8,1961,B1,Ye (2017),static
55.6,1935,B1,Ye (2017),static
61.1,2058,B1,Ye (2017),static
61.8,2161,B1,Ye (2017),static
62.2,2290,B1,Ye (2017),static
72.2,2413,B1,Ye (2017),static
72,2361,B1,Ye (2017),static
71.1,2245,B1,Ye (2017),static
67.6,2084,B1,Ye (2017),static
67.3,1994,B1,Ye (2017),static
69.3,1987,B1,Ye (2017),static
72.2,1994,B1,Ye (2017),static
72.4,1903,B1,Ye (2017),static
72.4,1942,B1,Ye (2017),static
66,1884,B1,Ye (2017),static
65.3,1819,B1,Ye (2017),static
65.1,1787,B1,Ye (2017),static
64.2,1677,B1,Ye (2017),static
66.4,1665,B1,Ye (2017),static
66.4,1729,B1,Ye (2017),static
69.8,1723,B1,Ye (2017),static
70,1665,B1,Ye (2017),static
71.3,1684,B1,Ye (2017),static
69.3,1697,B1,Ye (2017),static
68.4,1813,B1,Ye (2017),static
66.4,1800,B1,Ye (2017),static
67.1,1761,B1,Ye (2017),static
68,1755,B1,Ye (2017),static
67.1,1800,B1,Ye (2017),static
68,1858,B1,Ye (2017),static
68.9,1884,B1,Ye (2017),static
71.8,1813,B1,Ye (2017),static
71.6,1865,B1,Ye (2017),static
76.7,1994,B1,Ye (2017),static
76.4,1948,B1,Ye (2017),static
76,1897,B1,Ye (2017),static
75.1,1787,B1,Ye (2017),static
75.3,1800,B1,Ye (2017),static
75.6,1819,B1,Ye (2017),static
75.8,1839,B1,Ye (2017),static
76.4,1852,B1,Ye (2017),static
76,1852,B1,Ye (2017),static
75.8,1710,B1,Ye (2017),static
75.3,1619,B1,Ye (2017),static
75.6,1613,B1,Ye (2017),static
88.9,2155,B1,Ye (2017),static
88.7,2097,B1,Ye (2017),static
86.9,1948,B1,Ye (2017),static
87.3,1903,B1,Ye (2017),static
86,1877,B1,Ye (2017),static
86.4,1852,B1,Ye (2017),static
86.4,1819,B1,Ye (2017),static
85.8,1742,B1,Ye (2017),static
137.8,2503,B1,Ye (2017),static
136.4,2245,B1,Ye (2017),static
135.8,2187,B1,Ye (2017),static
131.3,2129,B1,Ye (2017),static
135.6,2052,B1,Ye (2017),static
128,2039,B1,Ye (2017),static
126.4,2432,B1,Ye (2017),static
129.6,2348,B1,Ye (2017),static
125.6,2342,B1,Ye (2017),static
125.6,2297,B1,Ye (2017),static
123.8,2252,B1,Ye (2017),static
124.4,2271,B1,Ye (2017),static
124.7,2181,B1,Ye (2017),static
123.1,2097,B1,Ye (2017),static
122.9,2026,B1,Ye (2017),static
120.2,1981,B1,Ye (2017),static
123.8,1884,B1,Ye (2017),static
124.2,1910,B1,Ye (2017),static
124.2,1942,B1,Ye (2017),static
124.2,1955,B1,Ye (2017),static
126.9,1923,B1,Ye (2017),static
127.3,1858,B1,Ye (2017),static
126.7,1729,B1,Ye (2017),static
129.8,1761,B1,Ye (2017),static
130,1852,B1,Ye (2017),static
123.1,1768,B1,Ye (2017),static
122.9,1729,B1,Ye (2017),static
121.6,1710,B1,Ye (2017),static
118.2,1587,B1,Ye (2017),static
113.8,1548,B1,Ye (2017),static
114.2,1665,B1,Ye (2017),static
112,1710,B1,Ye (2017),static
115.1,1742,B1,Ye (2017),static
112.4,1800,B1,Ye (2017),static
113.1,1845,B1,Ye (2017),static
114,1910,B1,Ye (2017),static
114,1929,B1,Ye (2017),static
113.8,1968,B1,Ye (2017),static
114.4,2026,B1,Ye (2017),static
105.8,2187,B1,Ye (2017),static
105.3,2039,B1,Ye (2017),static
104.7,2000,B1,Ye (2017),static
100.9,1884,B1,Ye (2017),static
101.1,1832,B1,Ye (2017),static
104.9,1832,B1,Ye (2017),static
104.2,1742,B1,Ye (2017),static
104.2,1710,B1,Ye (2017),static
100.9,1723,B1,Ye (2017),static
100.7,1665,B1,Ye (2017),static
100.4,1600,B1,Ye (2017),static
80.2,300,B1,Ye (2017),static
89.1,300,B1,Ye (2017),static
94.9,300,B1,Ye (2017),static
97.8,300,B1,Ye (2017),static
108,300,B1,Ye (2017),static
110.7,300,B1,Ye (2017),static
112.9,300,B1,Ye (2017),static
114.2,300,B1,Ye (2017),static
116.2,300,B1,Ye (2017),static
120.2,300,B1,Ye (2017),static
128,300,B1,Ye (2017),static
3.2,500,B1,Cebulla (2017),theory
20,500,B1,Cebulla (2017),theory
121.2,500,B1,Cebulla (2017),theory
243.7,500,B1,Cebulla (2017),theory
333,500,B1,Cebulla (2017),theory
457.5,500,B1,Cebulla (2017),theory
581.5,500,B2,Cebulla (2017),theory
732.3,500,B2,Cebulla (2017),theory
786.9,500,B2,Cebulla (2017),theory
6.8,1000,B1,Cebulla (2017),theory
23.9,1000,B1,Cebulla (2017),theory
124.6,1000,B1,Cebulla (2017),theory
247.3,1000,B1,Cebulla (2017),theory
462.7,1000,B1,Cebulla (2017),theory
587.3,1000,B2,Cebulla (2017),theory
738.3,1000,B2,Cebulla (2017),theory
792.9,1000,B2,Cebulla (2017),theory
12.9,2000,B1,Cebulla (2017),theory
29.9,2000,B1,Cebulla (2017),theory
132,2000,B1,Cebulla (2017),theory
254.6,2000,B1,Cebulla (2017),theory
486.4,2000,B2,Cebulla (2017),theory
598.6,2000,B2,Cebulla (2017),theory
750,2000,B2,Cebulla (2017),theory
805.1,2000,B2,Cebulla (2017),theory
0.5,3000,B1,Cebulla (2017),theory
19,3000,B1,Cebulla (2017),theory
36.3,3000,B1,Cebulla (2017),theory
137.5,3000,B1,Cebulla (2017),theory
262,3000,B1,Cebulla (2017),theory
350.4,3000,B1,Cebulla (2017),theory
398.9,3000,B1,Cebulla (2017),theory
497.8,3000,B2,Cebulla (2017),theory
610.2,3000,B2,Cebulla (2017),theory
761.5,3000,B2,Cebulla (2017),theory
817,3000,B2,Cebulla (2017),theory
24.8,4000,B1,Cebulla (2017),theory
42.8,4000,B1,Cebulla (2017),theory
87.9,4000,B1,Cebulla (2017),theory
144.5,4000,B1,Cebulla (2017),theory
268.3,4000,B1,Cebulla (2017),theory
406.9,4000,B1,Cebulla (2017),theory
508.9,4000,B2,Cebulla (2017),theory
621.4,4000,B2,Cebulla (2017),theory
773.4,4000,B2,Cebulla (2017),theory
828.6,4000,B2,Cebulla (2017),theory
22.4,5000,Liquid,Cebulla (2017),theory
31,5000,B1,Cebulla (2017),theory
48.5,5000,B1,Cebulla (2017),theory
95,5000,B1,Cebulla (2017),theory
150.7,5000,B1,Cebulla (2017),theory
206.2,5000,B1,Cebulla (2017),theory
275.8,5000,B1,Cebulla (2017),theory
321.3,5000,B1,Cebulla (2017),theory
364.9,5000,B1,Cebulla (2017),theory
414.7,5000,B1,Cebulla (2017),theory
519.7,5000,B2,Cebulla (2017),theory
632.7,5000,B2,Cebulla (2017),theory
785.7,5000,B2,Cebulla (2017),theory
840.7,5000,B2,Cebulla (2017),theory
1215.6,5000,B2,Cebulla (2017),theory
1587.5,5000,B2,Cebulla (2017),theory
37.6,6000,B1,Cebulla (2017),theory
54.9,6000,B1,Cebulla (2017),theory
101,6000,B1,Cebulla (2017),theory
157.9,6000,B1,Cebulla (2017),theory
213.4,6000,B1,Cebulla (2017),theory
283.3,6000,B1,Cebulla (2017),theory
327.6,6000,B1,Cebulla (2017),theory
373,6000,B1,Cebulla (2017),theory
429.5,6000,B2,Cebulla (2017),theory
530.6,6000,B2,Cebulla (2017),theory
644,6000,B2,Cebulla (2017),theory
797.4,6000,B2,Cebulla (2017),theory
852.7,6000,B2,Cebulla (2017),theory
58.2,7000,Liquid,Cebulla (2017),theory
107.6,7000,B1,Cebulla (2017),theory
334.2,7000,B1,Cebulla (2017),theory
36.5,8000,Liquid,Cebulla (2017),theory
64.3,8000,Liquid,Cebulla (2017),theory
85.2,8000,Liquid,Cebulla (2017),theory
115.8,8000,B1,Cebulla (2017),theory
172.6,8000,B1,Cebulla (2017),theory
227.8,8000,B1,Cebulla (2017),theory
296.8,8000,B1,Cebulla (2017),theory
343,8000,B1,Cebulla (2017),theory
406.5,8000,B2,Cebulla (2017),theory
450.3,8000,B2,Cebulla (2017),theory
502.2,8000,B2,Cebulla (2017),theory
551.7,8000,B2,Cebulla (2017),theory
666.9,8000,B2,Cebulla (2017),theory
820.6,8000,B2,Cebulla (2017),theory
876.3,8000,B2,Cebulla (2017),theory
181.1,9000,B1,Cebulla (2017),theory
236.1,9000,B1,Cebulla (2017),theory
304.8,9000,B1,Cebulla (2017),theory
372,9000,B2,Cebulla (2017),theory
417.9,9000,B2,Cebulla (2017),theory
460.9,9000,B2,Cebulla (2017),theory
76.1,10000,Liquid,Cebulla (2017),theory
98.9,10000,Liquid,Cebulla (2017),theory
152.7,10000,Liquid,Cebulla (2017),theory
214.4,10000,Liquid,Cebulla (2017),theory
243.6,10000,B1,Cebulla (2017),theory
314.1,10000,B1,Cebulla (2017),theory
382.4,10000,B2,Cebulla (2017),theory
428.6,10000,B2,Cebulla (2017),theory
471.4,10000,B2,Cebulla (2017),theory
524.5,10000,B2,Cebulla (2017),theory
574,10000,B2,Cebulla (2017),theory
634.7,10000,B2,Cebulla (2017),theory
690.3,10000,B2,Cebulla (2017),theory
844.6,10000,B2,Cebulla (2017),theory
900.3,10000,B2,Cebulla (2017),theory
1280.9,10000,B2,Cebulla (2017),theory
1656.1,10000,B2,Cebulla (2017),theory
354.3,11000,Liquid,Cebulla (2017),theory
253.4,11000,B1,Cebulla (2017),theory
394.4,11000,B2,Cebulla (2017),theory
439.5,11000,B2,Cebulla (2017),theory
536.3,11000,B2,Cebulla (2017),theory
85.5,12000,Liquid,Cebulla (2017),theory
110.5,12000,Liquid,Cebulla (2017),theory
230.9,12000,Liquid,Cebulla (2017),theory
