Pressure,Temperature,Phase,Author,Method
128,2654,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
127.5,2110,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
127.5,2496,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
130.6,2504,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
130.6,2402,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
129.6,2417,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
127.9,2378,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
127.1,2299,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
130.2,2228,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
130.2,2307,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
129.8,2150,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
127.8,2197,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
127.2,2409,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
126.8,2457,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
127.7,2346,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
126.7,2315,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
129,2220,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
129.7,2228,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
129.5,2307,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
130.1,2346,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
128.6,2236,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
128.8,2205,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
127.6,2252,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
130.4,2307,Mix (CaCl2-like + Seifertite) ,Sun (2019),static
101,2319,CaCl2-like,Murakami (2003),static
103.6,2453,CaCl2-like,Murakami (2003),static
113.4,2158,CaCl2-like,Murakami (2003),static
116.4,2319,CaCl2-like,Murakami (2003),static
123.8,2251,Seifertite,Murakami (2003),static
127.8,2501,Seifertite,Murakami (2003),static
140.4,2101,Seifertite,Murakami (2003),static
151,2149,Seifertite,Murakami (2003),static
60.9,2557,Mix (Stishovite + Seifertite),Dubrovinsky (2001),static
64,2239,Mix (Stishovite + Seifertite),Dubrovinsky (2001),static
64.9,2022,Mix (Stishovite + Seifertite),Dubrovinsky (2001),static
69,1748,Mix (Stishovite + Seifertite),Dubrovinsky (2001),static
70.9,1666,Mix (Stishovite + Seifertite),Dubrovinsky (2001),static
70.9,1436,Mix (Stishovite + Seifertite),Dubrovinsky (2001),static
73.9,1411,Mix (Stishovite + Seifertite),Dubrovinsky (2001),static
75,1143,Mix (Stishovite + Seifertite),Dubrovinsky (2001),static
66.1,920,Mix (Stishovite + Seifertite),Dubrovinsky (2001),static
67.5,965,Mix (Stishovite + Seifertite),Dubrovinsky (2001),static
69,780,Mix (Stishovite + Seifertite),Dubrovinsky (2001),static
72,939,Mix (Stishovite + Seifertite),Dubrovinsky (2001),static
76,876,Mix (Stishovite + Seifertite),Dubrovinsky (2001),static
75.1,2015,CaCl2-like,Shieh (2005),static
72.9,1843,CaCl2-like,Shieh (2005),static
76.4,1791,CaCl2-like,Shieh (2005),static
75.1,1746,CaCl2-like,Shieh (2005),static
74.4,1806,CaCl2-like,Shieh (2005),static
76.4,1776,CaCl2-like,Shieh (2005),static
76.2,1627,CaCl2-like,Shieh (2005),static
92.9,1634,CaCl2-like,Shieh (2005),static
92.1,1455,CaCl2-like,Shieh (2005),static
87.6,1403,CaCl2-like,Shieh (2005),static
94,1881,CaCl2-like,Shieh (2005),static
94.3,1940,CaCl2-like,Shieh (2005),static
98.5,1940,CaCl2-like,Shieh (2005),static
99.1,2030,CaCl2-like,Shieh (2005),static
99.1,2060,CaCl2-like,Shieh (2005),static
101.8,1978,CaCl2-like,Shieh (2005),static
95.4,2216,CaCl2-like,Shieh (2005),static
99.6,2246,CaCl2-like,Shieh (2005),static
100.9,1716,CaCl2-like,Shieh (2005),static
101.1,1627,CaCl2-like,Shieh (2005),static
101.5,1530,CaCl2-like,Shieh (2005),static
100.9,2448,CaCl2-like,Shieh (2005),static
104.2,2485,CaCl2-like,Shieh (2005),static
101.1,2776,CaCl2-like,Shieh (2005),static
103.5,2970,CaCl2-like,Shieh (2005),static
102.2,3052,CaCl2-like,Shieh (2005),static
118.1,2448,CaCl2-like,Shieh (2005),static
114.6,2119,CaCl2-like,Shieh (2005),static
113.2,2067,CaCl2-like,Shieh (2005),static
115,1881,CaCl2-like,Shieh (2005),static
119,1701,CaCl2-like,Shieh (2005),static
120.1,1604,CaCl2-like,Shieh (2005),static
122.7,1821,CaCl2-like,Shieh (2005),static
127.1,1724,CaCl2-like,Shieh (2005),static
131.3,1769,CaCl2-like,Shieh (2005),static
128.9,1843,CaCl2-like,Shieh (2005),static
129.3,1910,CaCl2-like,Shieh (2005),static
87.6,2418,CaCl2-like,Shieh (2005),static
85,2187,CaCl2-like,Shieh (2005),static
83.5,2104,CaCl2-like,Shieh (2005),static
78.8,1873,CaCl2-like,Shieh (2005),static
79.9,1754,CaCl2-like,Shieh (2005),static
81.7,1575,CaCl2-like,Shieh (2005),static
83.5,1388,CaCl2-like,Shieh (2005),static
100.9,1299,CaCl2-like,Shieh (2005),static
101.1,1343,CaCl2-like,Shieh (2005),static
101.3,1485,CaCl2-like,Shieh (2005),static
100.9,1582,CaCl2-like,Shieh (2005),static
106.6,1836,CaCl2-like,Shieh (2005),static
107.3,1940,CaCl2-like,Shieh (2005),static
108.4,1940,CaCl2-like,Shieh (2005),static
112.4,1627,CaCl2-like,Shieh (2005),static
112.4,1657,CaCl2-like,Shieh (2005),static
110.8,1716,CaCl2-like,Shieh (2005),static
110.8,1701,CaCl2-like,Shieh (2005),static
113.2,1776,CaCl2-like,Shieh (2005),static
87,1866,CaCl2-like,Shieh (2005),static
85.4,1507,CaCl2-like,Shieh (2005),static
87.2,1493,CaCl2-like,Shieh (2005),static
91.8,1560,CaCl2-like,Shieh (2005),static
91.4,1642,CaCl2-like,Shieh (2005),static
91.6,1828,CaCl2-like,Shieh (2005),static
91.4,1784,CaCl2-like,Shieh (2005),static
92.3,1769,CaCl2-like,Shieh (2005),static
91.2,1746,CaCl2-like,Shieh (2005),static
91.6,1687,CaCl2-like,Shieh (2005),static
9,773,Stishovite,Yagi & Akimoto (1976),static
9.6,973,Stishovite,Yagi & Akimoto (1976),static
8.4,903,Coesite,Yagi & Akimoto (1976),static
8.8,883,Coesite,Yagi & Akimoto (1976),static
8.8,863,Stishovite,Yagi & Akimoto (1976),static
9,973,Stishovite,Yagi & Akimoto (1976),static
7.9,973,Coesite,Yagi & Akimoto (1976),static
8.7,973,Coesite,Yagi & Akimoto (1976),static
8.2,1053,Coesite,Yagi & Akimoto (1976),static
9.3,973,Stishovite,Yagi & Akimoto (1976),static
