Pressure,Temperature,Phase,Author,Starting material,Heating time,Pressure scale,EoS,Pressure medium,Notes,,,,,,,,,
30.98,298,Stishovite,Andrault (2003),silica glass,N/A,NaCl,Sata (2002) - B2 form,NaCl,,,,,,,,,,
34.21,298,Stishovite,Andrault (2003),silica glass,N/A,NaCl,Sata (2002) - B2 form,NaCl,,,,,,,,,,
38.45,298,Stishovite,Andrault (2003),silica glass,N/A,NaCl,Sata (2002) - B2 form,NaCl,,,,,,,,,,
43.37,298,Stishovite,Andrault (2003),silica glass,N/A,NaCl,Sata (2002) - B2 form,NaCl,,,,,,,,,,
47.49,298,Stishovite,Andrault (2003),silica glass,N/A,NaCl,Sata (2002) - B2 form,NaCl,,,,,,,,,,
50.47,298,Stishovite,Andrault (1998),Synthetic quartz crystals,N/A,Pt,Holmes (1989),No pressure medium,,,,,,,,,,
55.91,298,Stishovite,Andrault (1998),Synthetic quartz crystals,N/A,Pt,Holmes (1989),No pressure medium,,,,,,,,,,
57.56,298,Stishovite,Andrault (1998),Synthetic quartz crystals,N/A,Pt,Holmes (1989),No pressure medium,,,,,,,,,,
66.31,298,CaCl2-like,Andrault (1998),Synthetic quartz crystals,N/A,Pt,Holmes (1989),No pressure medium,,,,,,,,,,
69.58,298,CaCl2-like,Andrault (1998),Synthetic quartz crystals,N/A,Pt,Holmes (1989),No pressure medium,,,,,,,,,,
76.42,298,CaCl2-like,Andrault (1998),Synthetic quartz crystals,N/A,Pt,Holmes (1989),No pressure medium,,,,,,,,,,
81.72,298,CaCl2-like,Andrault (1998),Synthetic quartz crystals,N/A,Pt,Holmes (1989),No pressure medium,,,,,,,,,,
89.39,298,CaCl2-like,Andrault (1998),Synthetic quartz crystals,N/A,Pt,Holmes (1989),No pressure medium,,,,,,,,,,
94.64,298,CaCl2-like,Andrault (1998),Synthetic quartz crystals,N/A,Pt,Holmes (1989),No pressure medium,,,,,,,,,,
99.41,298,CaCl2-like,Andrault (1998),Synthetic quartz crystals,N/A,Pt,Holmes (1989),No pressure medium,,,,,,,,,,
103.7,298,CaCl2-like,Andrault (1998),Synthetic quartz crystals,N/A,Pt,Holmes (1989),No pressure medium,,,,,,,,,,
106.9,298,CaCl2-like,Andrault (1998),Synthetic quartz crystals,N/A,Pt,Holmes (1989),No pressure medium,,,,,,,,,,
114.6,298,CaCl2-like,Andrault (1998),Synthetic quartz crystals,N/A,Pt,Holmes (1989),No pressure medium,,,,,,,,,,
120.4,298,CaCl2-like,Andrault (1998),Synthetic quartz crystals,N/A,Pt,Holmes (1989),No pressure medium,,,,,,,,,,
124.1,298,CaCl2-like,Andrault (1998),Synthetic quartz crystals,N/A,Pt,Holmes (1989),No pressure medium,,,,,,,,,,
128,298,CaCl2-like,Andrault (1998),Synthetic quartz crystals,N/A,Pt,Holmes (1989),No pressure medium,,,,,,,,,,
104.606414,2022.026432,CaCl2-like,Grocholski (2013),Amorphous silica,,Au,Tsuchiya (2003),Ne,,,,,,,,,,
